qubits,repeat,seed,accuracy,precision,recall,f1_score,mse,auc_roc_attack,far_benign,far_attack,md_benign,md_attack,val_best_accuracy,epochs_trained,n_features_selected,qpso_time_sec,training_time_sec,inference_time_sec,total_time_sec,memory_mb
6,0,6042,0.9664138678223185,0.9665031147395949,0.9664138678223185,0.9664122413429862,0.024816587567329407,0.9944830527310107,0.02666666666666622,0.040506751125186855,0.040506751125186855,0.02666666666666622,0.9692448973655701,35,40,19.532471179962158,2012.0857462882996,4.473394393920898,2018.4658317565918,24.83990478515625
6,1,6043,0.9679973331110926,0.9681073680825876,0.9679973331110926,0.9679954311880933,0.02394099161028862,0.9947582652664334,0.024333333333332926,0.03967327887981264,0.03967327887981264,0.024333333333332926,0.9694949388504028,35,40,19.532471179962158,1997.0514442920685,4.451809644699097,2001.7897729873657,24.83990478515625
6,2,6044,0.9721643470289191,0.9721971246740612,0.9721643470289191,0.972163854014827,0.02167239971458912,0.9955395899316551,0.023666666666666274,0.03200533422236986,0.03200533422236986,0.023666666666666274,0.9669111371040344,35,40,19.532471179962158,2093.0324010849,4.656919479370117,2097.9995663166046,24.83990478515625
6,3,6045,0.967747312276023,0.9677956449658113,0.967747312276023,0.967746465031198,0.02477717027068138,0.9941897260654552,0.027166666666666214,0.03733955659276484,0.03733955659276484,0.027166666666666214,0.9654942750930786,35,40,19.532471179962158,2196.7952835559845,5.248862028121948,2202.374478340149,24.83990478515625
6,4,6046,0.9681640136678057,0.9682993300093177,0.9681640136678057,0.9681616904089463,0.024750910699367523,0.9946599849974996,0.023333333333332946,0.04034005667611201,0.04034005667611201,0.023333333333332946,0.9661610126495361,35,40,19.532471179962158,2181.095808982849,4.959912061691284,2186.40544462204,24.83990478515625
7,0,7042,0.9633302775231269,0.9633344390613184,0.9633302775231269,0.9633301904178008,0.0271113533526659,0.9900937517364005,0.03516666666666608,0.038173028838139056,0.038173028838139056,0.03516666666666608,0.963160514831543,35,40,19.70723009109497,2183.4752805233,4.850508451461792,2188.6683583259583,24.837848663330078
7,1,7043,0.9619968330694224,0.962175560396364,0.9619968330694224,0.9619931262505179,0.03012559749186039,0.9891576929488249,0.028166666666666198,0.04784130688447995,0.04784130688447995,0.028166666666666198,0.9607434868812561,35,40,19.70723009109497,2099.324612379074,4.612926006317139,2104.2718544006348,24.837848663330078
7,2,7044,0.9586632219351613,0.9590145369305875,0.9586632219351613,0.9586552611627301,0.032898448407649994,0.9875415069178196,0.027499999999999542,0.05517586264377304,0.05517586264377304,0.027499999999999542,0.9534088969230652,29,40,19.70723009109497,1715.172777891159,4.584486246109009,1720.065229177475,24.837848663330078
7,3,7045,0.9583298608217351,0.9583616679008768,0.9583298608217351,0.9583291227766871,0.03192669153213501,0.9884432544312941,0.037499999999999374,0.04584097349558183,0.04584097349558183,0.037499999999999374,0.9584097266197205,35,40,19.70723009109497,2064.93447637558,4.730607509613037,2069.9496519565582,24.837848663330078
7,4,7046,0.9575797983165264,0.9575799144983673,0.9575797983165264,0.9575797965487232,0.03198279067873955,0.9886635967105629,0.04266666666666596,0.042173695615935286,0.042173695615935286,0.04266666666666596,0.9595766067504883,35,40,19.70723009109497,2044.5106935501099,4.582574367523193,2049.3868441581726,24.837848663330078
8,0,8042,0.949495791315943,0.9494970471422806,0.949495791315943,0.9494957597455334,0.039934705942869186,0.9866768211368561,0.051333333333332475,0.04967494582430322,0.04967494582430322,0.051333333333332475,0.9475746154785156,35,40,18.235027074813843,2055.9267728328705,4.584767580032349,2060.7964935302734,24.838480949401855
8,1,8043,0.9325777148095674,0.9353532525036956,0.9325777148095674,0.9324703241458263,0.051611050963401794,0.9801565538700896,0.10733333333333155,0.0275045840973491,0.0275045840973491,0.10733333333333155,0.9313218593597412,23,40,18.235027074813843,1377.5407667160034,4.613887548446655,1382.4512293338776,24.838480949401855
8,2,8044,0.949495791315943,0.9495798341726974,0.949495791315943,0.9494934613148396,0.03958960995078087,0.9873480580096683,0.057333333333332376,0.043673945657608876,0.043673945657608876,0.057333333333332376,0.9448241591453552,35,40,18.235027074813843,2124.3181142807007,4.661055564880371,2129.270289182663,24.838480949401855
8,3,8045,0.9474122843570297,0.9479151849896675,0.9474122843570297,0.9473975970921749,0.041801877319812775,0.9854742040340057,0.06933333333333218,0.03583930655109125,0.03583930655109125,0.06933333333333218,0.9481580257415771,33,40,18.235027074813843,2001.164840221405,4.697148084640503,2006.1471099853516,24.838480949401855
8,4,8046,0.9539961663471956,0.9539962155215338,0.9539961663471956,0.9539961644300496,0.03656879812479019,0.9893250819581041,0.04583333333333257,0.046174362393731516,0.046174362393731516,0.04583333333333257,0.9499083161354065,35,40,18.235027074813843,2164.890791654587,4.7478179931640625,2169.9561750888824,24.838480949401855
